user_id,condition,topic,climate_perc,concern,desired_frequency,exposure_frequency,hope,human_activity,importance,newsworthiness,problem,rating_combined
1653066121758_v22gk,0.5,climate,50,6,2,5,4,6,5,5,5,5
1653066121758_v22gk,0.5,election,50,,2,4,,,5,4,,4.5
1653066121758_v22gk,0.5,johnny,50,,3,7,,,3,6,,4.5
1653066170339_8jixo,0.5,climate,50,5,2,7,3,5,5,5,5,5
1653066170339_8jixo,0.5,election,50,,2,7,,,5,5,,5
1653066170339_8jixo,0.5,johnny,50,,3,7,,,5,5,,5
1653066329389_sw6e2,0.5,climate,64,5,2,5,3,5,5,5,5,5
1653066329389_sw6e2,0.5,election,64,,2,4,,,4,4,,4
1653066329389_sw6e2,0.5,johnny,64,,1,7,,,3,4,,3.5
1653066404661_tq0ad,0.5,climate,60,6,3,6,3,6,6,6,6,6
1653066404661_tq0ad,0.5,election,60,,2,6,,,5,6,,5.5
1653066404661_tq0ad,0.5,johnny,60,,1,7,,,3,4,,3.5
1653066508437_2xsph,0.5,climate,55,4,3,4,5,5,6,6,6,6
1653066508437_2xsph,0.5,election,55,,2,5,,,5,5,,5
1653066508437_2xsph,0.5,johnny,55,,2,6,,,4,5,,4.5
1653066621026_635f0,-0.5,climate,12,4,3,3,3,6,4,4,4,4
1653066621026_635f0,-0.5,election,12,,1,7,,,6,6,,6
1653066621026_635f0,-0.5,johnny,12,,1,7,,,3,3,,3
1653066622604_f8zt8,-0.5,climate,15,3,2,2,3,4,4,4,5,4
1653066622604_f8zt8,-0.5,election,15,,2,2,,,4,4,,4
1653066622604_f8zt8,-0.5,johnny,15,,1,6,,,3,3,,3
1653066821455_0javt,0.5,climate,35,1,2,5,2,4,4,2,2,3
1653066821455_0javt,0.5,election,35,,3,5,,,5,5,,5
1653066821455_0javt,0.5,johnny,35,,1,7,,,1,2,,1.5
1653067326177_nwifo,-0.5,climate,23,2,1,5,1,3,2,2,5,2
1653067326177_nwifo,-0.5,election,23,,3,5,,,6,5,,5.5
1653067326177_nwifo,-0.5,johnny,23,,1,7,,,4,3,,3.5
1653067453645_gh45j,-0.5,climate,26,5,3,1,3,5,6,6,4,6
1653067453645_gh45j,-0.5,election,26,,3,2,,,6,6,,6
1653067453645_gh45j,-0.5,johnny,26,,1,7,,,1,2,,1.5
1653067655731_3b0m8,0.5,climate,33,6,3,4,3,6,6,6,6,6
1653067655731_3b0m8,0.5,election,33,,2,4,,,5,5,,5
1653067655731_3b0m8,0.5,johnny,33,,2,5,,,4,4,,4
1653067657131_r2qxd,0.5,climate,60,2,1,6,3,3,2,2,2,2
1653067657131_r2qxd,0.5,election,60,,2,7,,,5,5,,5
