"time_stamp","time_engagement","time_content_viewed","user_id","entity_id","condition","experiment_id","engagement_type","response","accuracy_score","entity_category","entity_set","entity_url","ip_address","item_order","likes","read_later","shares","user_agent"
"1653783706922","-1","1653782994993","1653780032930_azhr1","o9n_7omln","1","e0j5KD","dwell","232","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_migrant%20caravan%20headed%20to%20US%20border.png","47.14.139.240","15","1912","0","130","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653782999286","1653782998576","1653782997299","1653780032930_azhr1","22052625_youtubepopular_xQqS9","1","e0j5KD","likes","1","-1","sensational","22052625_youtubepopular","https://ucarecdn.com/e216df0a-75f1-40ad-b2f1-b59b2dfb62aa/","47.14.139.240","16","8672","0","649","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653782997299","1653780032930_azhr1","22052625_youtubepopular_xQqS9","1","e0j5KD","dwell","2145","-1","sensational","22052625_youtubepopular","https://ucarecdn.com/e216df0a-75f1-40ad-b2f1-b59b2dfb62aa/","47.14.139.240","16","8672","0","649","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783001996","1653783001248","1653782999492","1653780032930_azhr1","o9n_x09NT","1","e0j5KD","likes","1","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_border%20patrol%20makes%20million%20arrests%20in%202021.png","47.14.139.240","17","1678","0","302","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653782999492","1653780032930_azhr1","o9n_x09NT","1","e0j5KD","dwell","2866","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_border%20patrol%20makes%20million%20arrests%20in%202021.png","47.14.139.240","17","1678","0","302","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653783002392","1653780032930_azhr1","o9n_snzGv","1","e0j5KD","dwell","1364","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Biden%20leaving%20Americans%20stranded%20in%20Afghanistan.png","47.14.139.240","18","81","0","7","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783005622","1653783004910","1653783003807","1653780032930_azhr1","o9n_x09NT","1","e0j5KD","read_later","1","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_border%20patrol%20makes%20million%20arrests%20in%202021.png","47.14.139.240","17","1678","0","302","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653783003807","1653780032930_azhr1","o9n_x09NT","1","e0j5KD","dwell","1882","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_border%20patrol%20makes%20million%20arrests%20in%202021.png","47.14.139.240","17","1678","0","302","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783007761","1653783007010","1653783005723","1653780032930_azhr1","o9n_snzGv","1","e0j5KD","read_later","1","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Biden%20leaving%20Americans%20stranded%20in%20Afghanistan.png","47.14.139.240","18","81","0","7","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653783005723","1653780032930_azhr1","o9n_snzGv","1","e0j5KD","dwell","2265","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Biden%20leaving%20Americans%20stranded%20in%20Afghanistan.png","47.14.139.240","18","81","0","7","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783011981","1653783011270","1653783008020","1653780032930_azhr1","o9n_GoG0b","1","e0j5KD","read_later","1","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Biden%20embraces%20Trump%20policy.png","47.14.139.240","19","1115","0","90","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653783008020","1653780032930_azhr1","o9n_GoG0b","1","e0j5KD","dwell","986","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Biden%20embraces%20Trump%20policy.png","47.14.139.240","19","1115","0","90","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783013770","1653783013026","1653783011937","1653780032930_azhr1","22052625_youtubepopular_iuk3s","1","e0j5KD","likes","1","-1","sensational","22052625_youtubepopular","https://ucarecdn.com/d2dee161-e167-408b-89aa-04c5a507c6e6/","47.14.139.240","20","468","0","32","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653783011937","1653780032930_azhr1","22052625_youtubepopular_iuk3s","1","e0j5KD","dwell","1784","-1","sensational","22052625_youtubepopular","https://ucarecdn.com/d2dee161-e167-408b-89aa-04c5a507c6e6/","47.14.139.240","20","468","0","32","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783015706","1653783014996","1653783013771","1653780032930_azhr1","o9n_leE3X","1","e0j5KD","read_later","1","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_bill%20clinton%20unwell%20to%20attend%20colin%20powells%20funeral.png","47.14.139.240","21","149","0","29","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653783013771","1653780032930_azhr1","o9n_leE3X","1","e0j5KD","dwell","1682","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_bill%20clinton%20unwell%20to%20attend%20colin%20powells%20funeral.png","47.14.139.240","21","149","0","29","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783023924","1653783023164","1653783015504","1653780032930_azhr1","o9n_JhYwm","1","e0j5KD","likes","1","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Gaetz%20cannot%20practice%20law%20in%20Florida%20now.png","47.14.139.240","22","4","0","0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653783015504","1653780032930_azhr1","o9n_JhYwm","1","e0j5KD","dwell","10562","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Gaetz%20cannot%20practice%20law%20in%20Florida%20now.png","47.14.139.240","22","4","0","0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653783026149","1653780032930_azhr1","o9n_d3ERd","1","e0j5KD","dwell","1181","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_republicans%20embrace%20Trump%20not%20pay%20debts.png","47.14.139.240","23","672","0","34","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653783027381","1653780032930_azhr1","o9n_GFj3z","1","e0j5KD","dwell","901","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_covid%20origins%20unknown.png","47.14.139.240","24","298","0","53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653783028382","1653780032930_azhr1","o9n_66p7B","1","e0j5KD","dwell","582","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_US%20deficit%202nd%20largest.png","47.14.139.240","25","111","0","17","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653783028997","1653780032930_azhr1","o9n_SX1RP","1","e0j5KD","dwell","933","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_haley%20calls%20for%20cognitive%20test%20for%20older%20politicians.png","47.14.139.240","26","145","0","10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653783029964","1653780032930_azhr1","o9n_66p7B","1","e0j5KD","dwell","498","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_US%20deficit%202nd%20largest.png","47.14.139.240","25","111","0","17","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
