user_id,engage_firstheadline,condition
1651592204369_k1eig,0,-0.5
1651592220413_zrvqm,0,0.5
1651592325039_qzenm,0,-0.5
1651592445217_vwbqy,2,-0.5
1651592452625_16k0n,0,0.5
1651592611180_vcopf,0,-0.5
1651592613824_4ocgv,0,0.5
1651592791568_4awrr,2,-0.5
1651592882383_c6xsg,1,0.5
1651593035557_wmst6,1,0.5
1651593380783_0w9ic,1,-0.5
1651593390232_lokqh,0,0.5
1651593661738_s1gy5,0,0.5
1651593867110_9710p,0,-0.5
1651593931527_mjdq4,1,0.5
1651593941649_ahulu,0,-0.5
1651594072881_nwwrk,0,-0.5
1651594397075_pa2j5,0,0.5
1651594477764_ho4y6,1,0.5
1651594592285_lc60b,1,0.5
1651594956056_mxzpb,3,-0.5
1651595159958_5hfo4,0,-0.5
1651595211431_9gfhs,0,0.5
1651595236734_ud0li,0,-0.5
1651595598728_6ucya,1,0.5
1651595821483_bo056,0,0.5
1651595856748_2u195,0,0.5
1651595966610_2umgs,3,-0.5
1651596183930_tfxkl,1,-0.5
1651596888951_0x8v4,0,-0.5
1651596989220_few3t,1,0.5
1651597030074_uc8z5,0,0.5
1651597116252_hmpa2,0,-0.5
1651597528932_4fr9o,0,0.5
1651597696078_yma6g,1,0.5
1651597793435_q5wwc,0,-0.5
1651598226308_a8o36,0,0.5
1651598299030_5nwi9,0,-0.5
1651598308268_tz88b,0,-0.5
1651598651054_saf09,0,0.5
1651598755093_5whih,0,-0.5
1651598865498_ltuza,0,-0.5
1651599192325_psjfs,0,-0.5
1651599523682_6rqfj,1,0.5
1651599564380_6db8a,0,-0.5
1651599592267_01756,1,0.5
1651599615237_4h4md,1,-0.5
1651599746772_7imj4,1,0.5
1651599783020_1oqfx,2,0.5
1651600195915_tfw1a,1,-0.5
1651600520740_z8ctn,1,-0.5
1651600614157_iy2p4,0,0.5
1651601071819_barwr,2,-0.5
1651601100770_pnhci,0,-0.5
1651601142427_745r1,1,-0.5
1651601330980_lzje3,1,0.5
1651601498565_ric56,0,0.5
1651602004527_r49wp,1,0.5
1651602175117_ci69o,0,0.5
